id,sentence,source_dataset,source_file,original_label,original_category,gold_category_suggested,gold_rule_id_suggested,difficulty_suggested,candidate_type,reason_for_mapping,needs_manual_review
pub-03304,认为女人的身体代表堕落，这才叫歧视,SWSR,vendor/SWSR/SexComment.csv,0,nan,C0,R030,boundary,boundary,contains stereotype phrase in refuting/anti-bias context,true
pub-03699,什么玩意 motherfucker是歧视女性的意思？是我们家才通网吗？我跟社会脱节了,SWSR,vendor/SWSR/SexComment.csv,0,nan,C0,R030,boundary,boundary,contains stereotype phrase in refuting/anti-bias context,true
pub-19883,既然仇女，也只是反对女性特权的压迫，追求的是平权，为什么各位从不正视诸多男性极端的歧视言论？,COLDataset,vendor/COLDataset/dev.csv,0,topic=gender,C0,R030,boundary,boundary,contains stereotype phrase in refuting/anti-bias context,true
pub-24795,你不喜欢她而已 我喜欢一个男的，隔着屏幕都想把他生吞了[爱] 一点不觉得恶心哈哈哈嗝,COLDataset,vendor/COLDataset/train.csv,0,topic=gender,C0,R030,boundary,boundary,contains stereotype phrase in refuting/anti-bias context,true
pub-25219,谢尔顿对待人事部那个女的，可以说种族歧视了，所以就忽略中国的问题了，应该不是在黑,COLDataset,vendor/COLDataset/train.csv,0,topic=gender,C0,R030,boundary,boundary,contains stereotype phrase in refuting/anti-bias context,true
pub-25527,撑伞这个，我觉得有性别歧视[飙泪笑]，周围普遍都认为男生不应该撑伞遮阳，,COLDataset,vendor/COLDataset/train.csv,0,topic=gender,C0,R030,boundary,boundary,contains stereotype phrase in refuting/anti-bias context,true
pub-25563,这两件事情不是一个性质，常程这是价值观的问题，歧视女性,COLDataset,vendor/COLDataset/train.csv,0,topic=gender,C0,R030,boundary,boundary,contains stereotype phrase in refuting/anti-bias context,true
pub-26105,女警跟ez平稳发育而且还是队友让经济情况下才一样就废了，正常女警不明显半个大件怎么打？经济不代表一切，中期打团两件套女警刮痧两件套ez伤害爆炸,COLDataset,vendor/COLDataset/train.csv,0,topic=gender,C0,R030,boundary,boundary,contains stereotype phrase in refuting/anti-bias context,true
pub-26502,母亲节（过后三天-_-||）我们来聊一下「母亲惩罚」，也就是母亲（已生育女性）在劳动力市场和职场上会受到的歧视。,COLDataset,vendor/COLDataset/train.csv,0,topic=gender,C0,R030,boundary,boundary,contains stereotype phrase in refuting/anti-bias context,true
pub-26549,不是呀，我只是觉得程序员这个职业太辛苦了，很多男生都不愿意做，真的没有任何歧视的意思[捂脸],COLDataset,vendor/COLDataset/train.csv,0,topic=gender,C0,R030,boundary,boundary,contains stereotype phrase in refuting/anti-bias context,true
pub-28386,看到有提农村地区重男轻女现象的，我觉得这不是性别歧视，是养老保障不完善的必然结果。,COLDataset,vendor/COLDataset/train.csv,0,topic=gender,C0,R030,boundary,boundary,contains stereotype phrase in refuting/anti-bias context,true
pub-29367,她说，“我们需要消除社会的性别偏见，加深对男性受害的认识”，包括通过不仅针对女性而且针对男性的调查。,CORGI-PM/NLPCC2025,vendor/NLPCC-2025-Shared-Task-7/data/test_gt/detection/non-biased.json,0,non-biased,C0,R030,boundary,boundary,contains stereotype phrase in refuting/anti-bias context,true
pub-08390,不是100个男护，几个而已。然后把这几个男护集中一起拍宣传报道。男的护士好啊男的护士要求低啊，女的还好怀孕来月经，男的不需要啊。,SWSR,vendor/SWSR/SexComment.csv,0,nan,C1,R034,semi_implicit,boundary,matched R034/C1: 月经、怀孕,true
pub-25230,成年人都这么抨击中国动漫吗，小女孩的偏执造就了大鱼，感情本来就是不理性的存在，只要心灵有一点点的触动，我想就是好电影。,COLDataset,vendor/COLDataset/train.csv,0,topic=gender,C1,R035,boundary,boundary,matched R035/C1: 不理性,true
pub-26134,小碰擦女司机才占4成，6成都是男司机，你还说女的开车不好？你这是歧视女性吧？,COLDataset,vendor/COLDataset/train.csv,1,topic=gender,C1,R009,boundary,boundary,contains stereotype phrase in refuting/anti-bias context,true
pub-27728,本来就是，我们认识的一个小姐姐不知道打了多少胎了，他爸妈一点都不知道，每次女孩来例假都痛的死去活来，她爸妈的同学都知道了，就他们俩蒙在鼓里，觉得自己女儿可纯了,COLDataset,vendor/COLDataset/train.csv,0,topic=gender,C1,R034,boundary,boundary,matched R034/C1: 来例假,true
pub-39452,在交警将该轿车引导到安全位置后，轿车女司机已是吓得满脸是泪。,CORGI-PM/NLPCC2025,vendor/NLPCC-2025-Shared-Task-7/data/train/non-biased.json,0,non-biased,C1,R009,boundary,boundary,matched R009/C1: 女司机,true
pub-46196,月23日，本报报道了“女司机醉驾撞人小伙子重伤昏迷”一文之后，引起了社会各界关注。,CORGI-PM/NLPCC2025,vendor/NLPCC-2025-Shared-Task-7/data/train/non-biased.json,0,non-biased,C1,R009,boundary,boundary,matched R009/C1: 女司机,true
pub-49704,原来，一名女司机和两个同伴想抄近路到魔鬼城景区周边游玩，不料车陷入沙坑。,CORGI-PM/NLPCC2025,vendor/NLPCC-2025-Shared-Task-7/data/train/non-biased.json,0,non-biased,C1,R009,boundary,boundary,matched R009/C1: 女司机,true
pub-53256,据了解，事发后老人入院治疗，而女司机目前已被大连警方行政拘留。,CORGI-PM/NLPCC2025,vendor/NLPCC-2025-Shared-Task-7/data/train/non-biased.json,0,non-biased,C1,R009,boundary,boundary,matched R009/C1: 女司机,true
pub-10226,第三，遇到做不好的事情，是女人做的，你常常得出普遍的结论：女人方向感不好，女人做不好管理，逻辑混乱，情绪化。,SWSR,vendor/SWSR/SexWeibo.csv,unknown,nan,C1,R025,semi_implicit,uncertain,matched R025/C1: 管理、情绪化,true
