id,sentence,source_dataset,source_file,original_label,original_category,gold_category_suggested,gold_rule_id_suggested,difficulty_suggested,candidate_type,reason_for_mapping,needs_manual_review
pub-50191,真正聪明的女人应该是利用男人，欺骗男人，占男人便宜，如果和男人吵架，那就是笨的女人,NLPCC-2025/CORGI-style,vendor/NLPCC-2025-Shared-Task-7/data/train/biased.json,biased,ANB,C1,R001,semi_implicit,biased,matched 笨,False
pub-56052,她是那么弱小，他一定很粗蠢，一定会欺负她,NLPCC-2025/CORGI-style,vendor/NLPCC-2025-Shared-Task-7/data/train/biased.json,biased,DI|ANB,C1,R001,semi_implicit,biased,matched 蠢,False
pub-90431,通常，她们只是满脑子想着找个男人，当然，是想找爱她们的男人,NLPCC-2025/CORGI-style,vendor/NLPCC-2025-Shared-Task-7/data/valid/biased.json,biased,AC|ANB,C1,R001,semi_implicit,biased,matched 脑子,False
pub-46019,她看不出这个题目蠢在哪里，她的智力刚开窍，还没有得到发展,NLPCC-2025/CORGI-style,vendor/NLPCC-2025-Shared-Task-7/data/train/biased.json,biased,AC|DI,C1,R001,semi_implicit,biased,matched 蠢,False
pub-49302,文笔一般，没有内涵，没有逻辑，一篇真正矫情做作的伪文艺女青年随笔,NLPCC-2025/CORGI-style,vendor/NLPCC-2025-Shared-Task-7/data/train/biased.json,biased,AC,C1,R002,semi_implicit,biased,matched 逻辑、矫情,False
pub-51669,她并不适合担当一个伟大的文学沙龙的女主人，这使得他感到非常痛苦,NLPCC-2025/CORGI-style,vendor/NLPCC-2025-Shared-Task-7/data/train/biased.json,biased,DI|ANB,C1,R002,direct,biased,matched 不适合,False
pub-46375,姚太太对女儿说：“这位‘标准美人’看上来顶伶俐的，怎么竟是个笨蛋，听音乐嫌闹,NLPCC-2025/CORGI-style,vendor/NLPCC-2025-Shared-Task-7/data/train/biased.json,biased,AC|DI,C1,R001,semi_implicit,biased,matched 笨,False
pub-55693,他虽然口头上也主张解决妇女问题，但心底里却认为女人都是愚蠢的，猥琐的，除了他所热恋的女人之外，譬如他现在所爱的格拉别茨,NLPCC-2025/CORGI-style,vendor/NLPCC-2025-Shared-Task-7/data/train/biased.json,biased,DI|ANB,C1,R001,semi_implicit,biased,matched 蠢、愚蠢,False
pub-51583,尽管伊秋说起话来有点笨嘴拙舌，体态也显得臃肿蠢钝，但是她却长了一张俊美的脸孔，一双最为温顺的羚羊式的大眼睛，乌黑的眉毛又粗又长,NLPCC-2025/CORGI-style,vendor/NLPCC-2025-Shared-Task-7/data/train/biased.json,biased,ANB,C1,R001,semi_implicit,biased,matched 笨、蠢,False
pub-47297,脑子里想的是如何大做生意,NLPCC-2025/CORGI-style,vendor/NLPCC-2025-Shared-Task-7/data/train/biased.json,biased,AC,C1,R001,contextual,biased,matched 脑子; trimmed for standalone sample,True
pub-53460,她听见放音机在呼号着一种矫揉造作的娇媚蠢笨的声音,NLPCC-2025/CORGI-style,vendor/NLPCC-2025-Shared-Task-7/data/train/biased.json,biased,DI|ANB,C1,R001,contextual,biased,matched 笨、蠢; trimmed for standalone sample,True
pub-55834,结果也就变得越发愚蠢,NLPCC-2025/CORGI-style,vendor/NLPCC-2025-Shared-Task-7/data/train/biased.json,biased,DI|ANB,C1,R001,contextual,biased,matched 蠢、愚蠢; trimmed for standalone sample,True
pub-91066,特别是对于女性来说，教师职业规律性强，有固定假期，既工作稳定、待遇好，且能够照顾家庭，是一份难得的理想职业,NLPCC-2025/CORGI-style,vendor/NLPCC-2025-Shared-Task-7/data/valid/biased.json,biased,AC|ANB,C2,R004,semi_implicit,biased,matched 顾家、照顾、照顾家庭,False
pub-02349,对，这种女人必须依靠男人的思想本来就是男权产物,SWSR,vendor/SWSR/SexComment.csv,1,MA,C2,R062,direct,biased,matched 靠男人; taxonomy v3 aligns R062 to C2,False
pub-02610,图二女孩子亲自出来解释她也经常给男朋友买东西被骂白嫖,SWSR,vendor/SWSR/SexComment.csv,1,SCB,C2,R062,semi_implicit,biased,matched 白嫖; taxonomy v3 aligns R062 to C2,False
pub-01525,大把低端岗位 体力劳动 重复性工作 不需要学历和文化 有条命能动弹就行 我劝你早点从你的女人靠男人养的梦里醒来，谢谢,SWSR,vendor/SWSR/SexComment.csv,1,SCB,C2,R062,direct,biased,matched 体力; taxonomy v3 aligns R062 to C2,False
pub-01913,第三，学艺术这一点见仁见智，不否认有这类家长为了女儿嫁得好而学，梦想成为艺术家另说,SWSR,vendor/SWSR/SexComment.csv,1,MA,C2,R004,semi_implicit,biased,matched 嫁得好,False
pub-01829,女性就像被男性圈养的家禽，只要把你保护好，你就好好听话生育，照顾家庭，让男性泄欲就好,SWSR,vendor/SWSR/SexComment.csv,1,SCB,C2,R004,semi_implicit,biased,matched 顾家、照顾、照顾家庭,False
pub-02721,比如说，男主外，女主内，这相当于压制了一半的社会生产力，那么这个时候就会进行改革，让妇女也出来工作,SWSR,vendor/SWSR/SexComment.csv,1,SCB,C2,R004,semi_implicit,biased,matched 男主外、女主内,False
pub-04053,只是要强，并非强势，传统的家庭模式也必将慢慢减少，男主外女主内只是分工，贤妻良母等角色也并非固定不变,SWSR,vendor/SWSR/SexComment.csv,1,MA,C2,R004,semi_implicit,biased,matched 男主外、女主内,False
pub-03398,有的已婚女性觉得自己过的很幸福家庭很好老公很好，有的单身女性觉得自己不结婚这事儿就跟自己没关系了,SWSR,vendor/SWSR/SexComment.csv,1,MA,C2,R004,semi_implicit,biased,matched 好老公,False
pub-01523,我真是笑死 农村妇女靠男人养,SWSR,vendor/SWSR/SexComment.csv,1,SCB,C2,R062,direct,biased,matched 靠男人; taxonomy v3 aligns R062 to C2,False
pub-37859,女人以为自己在白嫖，其实自己是在被垄断，哈哈哈哈哈,COLDataset-gender,vendor/COLDataset/train.csv,1,,C2,R062,semi_implicit,biased,matched 白嫖; taxonomy v3 aligns R062 to C2,False
pub-53095,这些年轻妇女，抛头露面惯了，行动言语之间，自然开通得多,NLPCC-2025/CORGI-style,vendor/NLPCC-2025-Shared-Task-7/data/train/biased.json,biased,DI|ANB,C3,R005,semi_implicit,biased,matched 抛头露面,False
pub-02264,就像事业成功男人不喜欢找女强人当老婆,SWSR,vendor/SWSR/SexComment.csv,1,SCB,C3,R005,semi_implicit,biased,matched 女强人,False
